gene,spotX,spotY,parent_id,parent_prob
PAM,5543.433,518.7333,26866,1.0
NPPA,5272.63,518.4259,10736,0.3535533905932738
NPPA,5278.405,519.6216,10736,0.3354101966249684
SORBS2,5619.3,518.3,25362,0.95
NPPA,5361.783,519.2957,9931,0.3905124837953327
PAM,5713.333,521.0,10096,0.1
NPPA,5245.75,520.7083,24003,0.4272001872658765
TBX5,5740.392,522.0253,10096,1.0
MYH6,5774.274,519.8904,10096,0.7071067811865476
MYH6,5885.71,520.0645,9353,0.8139410298049853
NPPA,5287.766,522.8298,10736,0.282842712474619
NPPA,5549.167,521.8333,26866,1.0
MYH6,5769.269,522.4615,10096,0.8139410298049853
NPPA,5250.885,522.0385,24003,0.4743416490252569
TBX5,5349.0,522.7857,9931,0.9899494936611666
MYH6,5887.476,523.7619,9353,1.0
NPPA,5535.326,524.9767,26866,0.8139410298049853
MYH6,5923.841,525.3182,21503,1.0
MYH7,5898.0,526.0263,9353,1.0
NPPA,5949.697,526.4737,21503,0.5590169943749475
NPPA,5247.686,527.5,24003,0.15
MYOZ2,5612.9,528.7667,25362,1.0
MYH6,5578.088,528.0,27170,1.0
MYH6,5883.071,527.4524,9353,1.0
NPPA,5266.409,529.2045,10736,0.8631338250816034
NPPA,5273.436,528.641,10736,0.8381527307120106
NPPA,5328.952,528.6988,9931,0.9192388155425116
SLC8A1,5919.878,530.8537,21503,1.0
MYBPC3,5606.111,530.7556,25362,1.0
NPPA,5728.923,531.2308,10096,0.85
TCF21,5189.167,530.5,13069,0.7433034373659253
MYH6,5879.719,532.4944,9353,1.0
NPPA,5899.128,532.1915,9353,1.0
MYBPC3,5334.407,536.3721,9931,1.0
LDB3,5622.129,534.2714,25362,0.8139410298049853
MYBPC3,5269.139,535.9861,10736,1.0
MYBPC3,5346.18,537.12,9931,1.0
PAM,5361.0,536.2727,9931,0.982344135219425
MYBPC3,5574.4,536.7077,27170,1.0
PAM,5586.339,535.6271,27170,1.0
NPPA,5627.958,536.6042,25362,0.4949747468305833
MYBPC3,5928.875,535.25,21503,1.0
NPPA,5528.538,536.6667,26866,0.1802775637731994
PAM,5608.05,537.15,25362,1.0
MYBPC3,5920.6,536.9,21503,1.0
MYBPC3,5932.483,537.431,21503,1.0
PAM,5364.484,538.4839,9931,0.8732124598286489
NPPA,5798.686,537.5098,52275,0.05
NPPA,5264.458,541.5833,10736,0.9013878188659972
NPPA,5539.158,540.7632,26866,0.3640054944640259
MYOZ2,5635.5,541.25,25362,0.0707106781186547
LDB3,5324.231,540.3462,9931,1.0
LDB3,5723.923,541.3692,13794,0.552268050859363
PAM,5546.4,541.4,26866,0.1802775637731994
MYBPC3,5851.735,542.2647,9353,0.5852349955359812
PAM,5968.487,541.5897,21503,0.05
PAM,5374.943,543.9143,9931,0.412310562561766
SLC8A1,5962.824,542.8824,21503,0.2121320343559642
LDB3,5327.417,543.5,9931,1.0
MYBPC3,5734.63,544.6543,13794,1.0
NPPA,5905.658,545.4211,9353,1.0
NPPA,5296.273,548.1364,10736,0.9656603957913984
NPPA,5840.727,546.2955,9353,0.1414213562373095
PAM,5944.625,546.8438,21503,0.7071067811865476
NPPA,5301.659,547.6364,10736,0.9013878188659972
SORBS2,5326.8,547.4167,9931,1.0
MYBPC3,5935.733,546.4651,21503,1.0
PAM,5287.242,551.1818,10736,1.0
PAM,5244.72,551.3,10736,0.447213595499958
PAM,5281.469,551.4063,10736,1.0
MYH6,5878.211,551.9474,9353,1.0
COL1A2,5190.167,553.25,13069,1.0
NPPA,5366.408,552.2041,9931,0.7433034373659253
NPPA,5758.978,552.3333,13794,0.2692582403567252
MYBPC3,5886.213,551.7234,9353,1.0
MYH6,5873.208,554.6458,9353,1.0
NPPA,5906.14,554.0465,9353,1.0
MYBPC3,5330.167,553.8611,9931,1.0
NPPA,5354.328,555.5862,9931,1.0
SLC39A8,5900.684,556.5,9353,1.0
MYBPC3,5372.929,556.2143,9931,0.3535533905932738
NPPA,5583.443,557.5082,10274,1.0
NPPA,5723.213,556.8361,13794,0.95524865872714
MYOM1,5745.0,556.4054,13794,0.9962429422585638
MYH6,5879.909,558.2273,9353,1.0
MYH6,5259.981,558.3333,10736,1.0
NPPA,5376.103,559.6552,9931,0.1414213562373095
NPPA,5244.132,560.6176,10736,0.3354101966249684
NPPA,5278.919,559.4595,10736,1.0
NPPA,5215.897,562.1026,13069,0.51478150704935
PAM,5256.231,561.7692,10736,0.9013878188659972
NPPA,5361.941,564.0,9931,0.5315072906367325
PAM,5706.318,563.0455,13794,0.51478150704935
MYBPC3,5738.25,562.4375,13794,1.0
TBX18,5190.809,563.0213,13069,1.0
HSPB7,5274.139,564.6111,10736,1.0
PAM,5417.5,564.9412,31710,0.05
MYOZ2,5566.362,564.8085,10274,0.5315072906367325
NPPA,5771.189,565.1887,13794,0.05
NPPA,5324.397,566.746,9931,0.6576473218982952
NPPA,5333.054,566.5676,9931,0.8514693182963201
NPPA,5551.155,566.2069,10274,0.05
NPPA,5372.356,567.1556,9931,0.0707106781186547
MYBPC3,5716.098,567.3922,13794,1.0
NPPA,5367.594,570.0,9931,0.1118033988749895
NPPA,5428.118,572.6471,23715,0.2
NPPA,5768.5,572.65,13794,0.2
NPPA,5337.342,573.0263,9931,0.7632168761236874
MYOZ2,5753.8,573.52,13794,0.8200609733428363
