gene,mean_cnc,mean_schwann,log2FC,pvalue
PHYH,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
PLN,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ZBTB24,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
MOCS3,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ZNF133,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
FAM91A1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
LRRC8D,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TNRC18,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
GALC,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
UVRAG,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ARHGAP1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ATRN,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
DIEXF,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
RRNAD1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TIMM23B,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
MIER2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ZNF263,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TPD52L2,0.41935483870967744,0.3409090909090909,0.29878363915243744,0.6145272712744665
POLR2L,2.935483870967742,2.6363636363636362,0.1550488975599542,0.6149257554037476
RRP7A,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6151069489089389
YY1AP1,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6151069489089389
KIAA1958,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6151069489089389
MND1,0.25806451612903225,0.18181818181818182,0.5052329638819695,0.6151444588349444
KATNBL1,0.8064516129032258,0.6818181818181818,0.24220057540619477,0.6152749388538437
NCALD,0.6129032258064516,0.5227272727272727,0.22960045957023145,0.615517860576012
HOXB4,0.5806451612903226,0.7272727272727273,-0.3248391893722632,0.6157216295775466
ZBTB45,0.16129032258064516,0.09090909090909091,0.8271564782611418,0.6157703498565327
NASP,3.6451612903225805,3.227272727272727,0.1756670999122718,0.6163004110746573
SF3B1,1.1612903225806452,1.0227272727272727,0.18330704504879317,0.6164565470111938
ALKBH4,0.22580645161290322,0.1590909090909091,0.5052326289739852,0.6170202212004051
FXR2,0.0967741935483871,0.045454545454545456,1.090180977801538,0.6173903386510367
FAM89A,0.0967741935483871,0.045454545454545456,1.090180977801538,0.6173903386510367
TUBE1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
NT5DC1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
STK38,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
FBXO28,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
CCDC171,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
CRTC1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
TRMT61A,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
AFAP1L1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
SDE2,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
GOLGA3,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
TCF7,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
ARNT,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
CENPQ,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
TMED7,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
CEBPB,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
ETAA1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780346
EMSY,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780348
PROSER3,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6176712803780348
KIFC1,0.3225806451612903,0.45454545454545453,-0.494763393327482,0.6181243139584134
SPATS2L,0.3225806451612903,0.4090909090909091,-0.3427606525404008,0.6185474346340734
COMMD6,4.870967741935484,5.409090909090909,-0.15117768626675288,0.6187969803156481
RPS12,47.32258064516129,51.45454545454545,-0.12076977645991516,0.6189794860111804
CIC,0.1935483870967742,0.25,-0.3692321265292191,0.6190746514414267
RCC1,0.1935483870967742,0.25,-0.3692321265292191,0.6190746514414267
MCCC1,0.1935483870967742,0.25,-0.3692321265292191,0.6190746514414267
APP,2.4193548387096775,2.159090909090909,0.16419831853373879,0.6195348905364964
CALCB,2.806451612903226,2.090909090909091,0.42461667212137644,0.619557714516638
CHCHD5,0.6129032258064516,0.5,0.2937306715384498,0.6200811450782102
ECI2,0.8064516129032258,0.6818181818181818,0.24220057540619477,0.6204654806387233
RNF34,0.3225806451612903,0.25,0.3677304860795598,0.6205347982842061
TCF4,3.3548387096774195,2.8863636363636362,0.2169902698221169,0.6211020881356064
TIA1,0.9032258064516129,0.7727272727272727,0.22512711931040844,0.6211296375476321
DYNC2H1,0.1935483870967742,0.13636363636363635,0.5052321824307029,0.6220505243215587
PIGM,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6224017879706726
SAR1A,0.7096774193548387,0.5909090909090909,0.26422680015181205,0.6226194595927863
HIST1H1A,0.16129032258064516,0.25,-0.6322650415866098,0.6227537967044812
PAK4,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.623464793154351
DUSP22,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6236505470213414
TBCD,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6236505470213414
PLCB1,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6236505470213414
ATF6,0.3548387096774194,0.29545454545454547,0.26422639155826433,0.6244821498395392
MRPS22,0.3225806451612903,0.4090909090909091,-0.3427606525404008,0.6255262586594604
CELF1,0.7741935483870968,0.6590909090909091,0.23221648840894388,0.6255865419722682
MTR,0.22580645161290322,0.29545454545454547,-0.3878479817287419,0.6257316947059475
JUND,1.096774193548387,0.9090909090909091,0.27076978304754673,0.626030726820803
POLDIP3,0.3870967741935484,0.4772727272727273,-0.30211890963625,0.6269435753076276
FAM96A,0.3870967741935484,0.4772727272727273,-0.30211890963625,0.6273485410045632
NAP1L1,10.935483870967742,11.909090909090908,-0.12304621936515137,0.628052841598602
ZNF131,0.45161290322580644,0.38636363636363635,0.22512684956377793,0.6286690328474817
